team,date,elo_(k=32)_rating,elo_(k=32)_avg_7d,elo_(k=32)_δ7d,elo_(k=32)_avg_30d,elo_(k=32)_δ30d,elo_(k=64)_rating,elo_(k=64)_avg_7d,elo_(k=64)_δ7d,elo_(k=64)_avg_30d,elo_(k=64)_δ30d,glicko_1_rating,glicko_1_μ,glicko_1_σ,glicko_1_δrat.7d,glicko_2_rating,glicko_2_μ,glicko_2_σ,glicko_2_δrat.7d
HYDRA,18-1-2022,1030.46,1026.91,+10.02,1056.24,-11.78,1010.54,998.30,+33.02,1061.71,-24.49,1499.80,1674.67,69.95,-10.46,1588.14,1711.51,49.35,-12.15
iG.Vitality,18-1-2022,949.00,947.75,+2.52,953.93,-36.92,912.28,910.13,+4.33,920.60,-66.04,1115.16,1585.34,188.07,-44.66,1556.99,1737.77,72.31,-1.91
Hokori,18-1-2022,969.63,984.98,-31.03,978.22,-3.25,961.62,995.13,-67.72,992.71,-27.81,1290.60,1566.36,110.30,+18.43,1555.90,1679.88,49.59,-7.82
SHENZHEN,18-1-2022,981.04,980.58,+0.94,978.94,+4.35,971.57,970.87,+1.40,968.42,+6.52,1457.65,1781.54,129.56,+79.28,1552.90,1744.59,76.68,-2.35
Mind Games,18-1-2022,960.43,948.28,+31.99,928.90,+44.31,972.81,950.61,+59.15,904.32,+94.95,1411.55,1719.17,123.05,+92.35,1547.90,1680.18,52.91,+18.08
Nemiga Gaming,18-1-2022,977.08,1003.49,-35.45,1039.41,-105.52,925.48,979.12,-71.55,1057.34,-240.72,1551.19,1662.87,44.67,-11.34,1543.63,1647.01,41.35,-13.85
Team Empire,18-1-2022,878.27,886.47,-24.03,903.84,-41.38,825.84,843.11,-49.21,877.23,-48.32,1364.64,1571.10,82.59,+61.58,1543.30,1653.26,43.98,+8.90
Infinity,18-1-2022,1109.78,1112.47,-5.42,1084.68,+34.63,1206.91,1211.98,-10.21,1172.68,+43.99,1606.22,1950.15,137.57,-7.71,1542.81,1689.11,58.52,+4.23
Coritiba Esports,18-1-2022,1033.06,1017.77,+30.90,1023.60,-5.06,1072.14,1039.46,+66.05,1042.41,-15.36,1448.30,1744.60,118.52,+37.70,1541.42,1708.42,66.80,+0.87
AS Monaco Gambit,18-1-2022,926.68,929.88,-16.43,945.15,-23.34,913.29,916.81,-18.36,938.81,-34.76,1162.64,1490.68,131.22,-22.51,1525.12,1679.07,61.58,-21.30
SG esports,18-1-2022,895.16,868.07,+28.02,877.03,+28.88,878.05,814.06,+67.51,827.76,+89.99,1144.46,1465.95,128.59,+163.35,1524.07,1662.53,55.39,+25.17
Tempest,18-1-2022,991.70,998.52,-13.32,975.96,+29.59,998.95,1011.07,-22.60,965.61,+60.02,1464.44,1758.38,117.57,+86.73,1520.22,1678.37,63.26,+28.32
Nigma Galaxy SEA,18-1-2022,1050.51,1049.08,+20.19,1037.11,+15.60,1093.04,1087.89,+45.05,1061.68,+27.92,1514.76,1755.05,96.11,-9.99,1514.52,1678.55,65.61,-1.96
Fantastic Five,18-1-2022,946.32,925.06,+34.99,912.75,+11.66,948.67,909.93,+63.34,882.47,+14.14,1267.31,1562.98,118.27,-77.91,1471.16,1595.42,49.70,-2.76
Eternity,18-1-2022,886.06,907.00,-40.74,907.60,-14.93,832.67,879.10,-86.88,869.88,-21.81,1157.60,1513.07,142.19,-61.60,1463.59,1601.33,55.10,-2.49
Simply TOOBASED,18-1-2022,918.32,899.30,+18.56,872.21,+73.96,915.34,874.55,+43.66,818.96,+148.06,1179.51,1535.39,142.35,-61.51,1452.57,1597.68,58.05,-2.36
Team Bald Reborn,18-1-2022,961.70,981.66,-22.49,987.68,-7.70,932.16,962.77,-34.30,977.68,-4.23,1211.24,1481.73,108.20,-8.54,1451.72,1634.43,73.09,-14.25
B8,18-1-2022,878.96,895.92,-26.32,913.10,-35.93,806.96,834.63,-30.87,849.69,-39.68,909.97,1312.07,160.84,-53.27,1451.15,1582.96,52.73,-2.61
Yangon Galacticos,18-1-2022,995.37,995.25,+0.23,994.85,+1.06,1004.63,1004.74,-0.23,1005.14,-1.06,1130.01,1801.70,268.68,-30.47,1441.73,1617.28,70.22,-1.96
Lilgun ,18-1-2022,995.90,981.49,+38.62,986.74,-0.76,1024.21,992.60,+85.29,996.15,+7.33,1442.44,1728.25,114.33,+121.12,1435.75,1599.90,65.66,+29.94
Army Geniuses,18-1-2022,934.11,927.76,+22.28,924.87,+14.67,929.68,921.20,+30.61,920.54,+22.65,1342.13,1612.81,108.27,+77.98,1427.64,1559.21,52.63,+10.62
One Move,18-1-2022,1010.85,988.43,+24.52,982.44,+2.44,1022.08,979.65,+40.60,959.06,+19.27,1404.85,1683.86,111.60,+118.04,1419.77,1611.30,76.61,+49.40
Gorillaz-Pride,18-1-2022,1069.49,1062.11,+14.92,1041.13,+35.45,1108.58,1100.01,+17.33,1070.39,+47.54,1402.72,1731.57,131.54,+81.92,1414.42,1574.86,64.18,+4.77
Ghost Frogs,18-1-2022,958.53,941.10,+11.98,956.24,-22.66,942.62,901.67,+39.61,921.03,-28.98,1096.11,1364.17,107.22,-26.43,1396.25,1574.65,71.36,-19.60
The Cut,18-1-2022,1075.77,1070.44,+7.92,1056.86,+29.99,1129.66,1124.25,+7.52,1106.12,+26.65,1306.12,1613.60,122.99,-48.90,1388.30,1558.89,68.24,-10.78
Arkosh Gaming,18-1-2022,841.06,848.11,-14.27,865.05,-27.68,752.66,766.06,-27.11,807.14,-71.74,942.73,1272.30,131.83,-1.52,1346.81,1501.06,61.70,-3.85
Omega Gaming,18-1-2022,977.78,972.09,+14.19,980.67,-38.35,968.29,960.34,+16.42,977.63,-80.11,1198.67,1523.44,129.91,+45.69,1341.83,1520.11,71.31,+36.12
Unknown Team,18-1-2022,875.66,881.69,-12.22,890.62,-14.14,801.66,808.02,-12.90,814.28,-5.56,718.73,1119.09,160.14,+1.70,1335.71,1487.14,60.57,-19.31
5ManMidas,18-1-2022,988.37,951.08,+67.07,927.55,+75.04,1014.48,943.33,+124.81,896.47,+143.59,1151.42,1459.26,123.14,+123.28,1173.76,1342.45,67.47,+31.05
Inverse,18-1-2022,895.62,904.99,-25.70,912.01,-12.21,836.82,850.49,-35.57,858.48,-13.68,718.65,1210.53,196.75,-42.50,1172.75,1365.28,77.01,-1.78
felt,18-1-2022,943.16,962.56,-25.39,956.80,-12.13,924.16,963.57,-52.24,937.37,-4.00,1061.32,1375.20,125.55,-36.41,1152.40,1324.47,68.83,-14.25
Electronic Boys,18-1-2022,928.84,953.08,-40.06,963.41,-45.14,893.52,943.99,-86.97,969.50,-78.75,1002.65,1312.72,124.03,-46.98,1121.50,1301.33,71.93,-24.39
PSG.LGD,17-1-2022,1220.20,1205.86,+28.11,1190.19,+23.09,1301.20,1273.60,+51.99,1259.43,+21.81,1852.89,2102.84,99.98,-184.03,2002.00,2116.51,45.80,-19.93
Team Spirit,17-1-2022,1189.64,1175.91,+15.56,1178.12,-50.75,1261.86,1236.13,+30.68,1227.35,-94.06,1909.11,2176.21,106.84,+51.03,1937.31,2054.24,46.77,+10.57
Tundra Esports,17-1-2022,1135.06,1161.81,-44.68,1170.13,+60.90,1219.30,1278.59,-98.27,1303.99,+123.31,1942.65,2178.69,94.42,+150.26,1909.23,2029.83,48.24,+33.02
Team Aster,17-1-2022,1095.08,1077.86,+45.23,1014.09,+92.52,1181.00,1162.14,+65.69,1025.81,+192.33,1929.09,2096.03,66.77,+190.87,1898.83,2002.83,41.60,+37.40
Royal Never Give Up,17-1-2022,1080.17,1097.75,-9.95,1081.31,+66.75,1095.57,1126.83,-23.15,1116.01,+83.57,1920.50,2096.01,70.20,+46.73,1876.46,1989.52,45.22,+20.30
Virtus.pro,17-1-2022,1111.15,1088.00,+29.60,1076.04,+12.10,1183.96,1123.80,+78.64,1094.20,+47.34,1681.51,1950.55,107.62,+41.76,1869.44,2004.41,53.99,-6.99
Team Secret,17-1-2022,1061.69,1060.62,+17.61,1054.90,-34.39,1095.41,1093.31,+30.78,1081.91,-43.44,1816.08,2081.91,106.33,+118.49,1867.73,1991.29,49.42,+10.38
INVICTUS GAMING,17-1-2022,1001.43,1049.79,-78.62,1094.96,-111.01,936.20,1031.89,-157.36,1119.50,-240.14,1790.04,1960.50,68.18,+56.99,1862.26,1966.17,41.57,+0.37
TSM FTX,17-1-2022,1052.09,1062.41,-38.85,1104.92,-57.74,1035.35,1055.21,-77.98,1140.29,-116.06,1621.38,1925.54,121.66,+150.06,1857.96,1993.44,54.19,+21.56
Evil Geniuses,17-1-2022,1078.98,1071.87,+32.39,1033.06,+79.92,1118.96,1102.88,+70.36,1016.76,+177.62,1624.29,1903.83,111.81,+52.24,1853.66,1991.97,55.32,+0.87
EHOME,17-1-2022,1064.14,1027.67,+16.96,1024.87,+51.13,1116.55,1038.62,+47.41,1041.33,+94.52,1790.34,2037.27,98.77,+111.67,1853.22,1992.72,55.80,+18.74
T1,17-1-2022,1162.08,1135.22,+54.13,1132.92,+14.97,1279.18,1224.02,+104.72,1228.84,+21.71,1772.92,2046.84,109.57,-43.63,1847.57,1968.99,48.57,-13.03
Vici Gaming,17-1-2022,1022.10,1018.14,+18.02,1052.51,-48.22,1012.38,1003.14,+40.92,1070.74,-105.08,1781.77,1946.00,65.69,-18.03,1844.56,1949.63,42.03,-22.22
BOOM Esports,17-1-2022,1176.98,1207.09,-50.54,1230.57,-79.43,1232.66,1292.86,-99.88,1338.05,-147.79,1756.99,2103.95,138.79,+26.89,1843.28,1972.50,51.69,+5.35
OG,17-1-2022,1064.12,1060.83,+16.31,1064.55,-45.33,1091.58,1086.28,+25.75,1086.86,-108.37,1754.70,1987.36,93.07,+47.76,1840.46,1961.64,48.47,-1.63
Team Liquid,17-1-2022,1052.27,1056.88,-29.27,1079.10,-29.21,1078.87,1088.46,-65.17,1137.53,-74.41,1683.69,1993.59,123.96,-56.93,1815.53,1949.29,53.50,+1.15
Fnatic,17-1-2022,1068.83,1055.56,+20.87,1042.79,+30.40,1126.50,1105.89,+32.23,1089.15,+40.72,1843.50,2104.18,104.27,+199.15,1786.64,1914.50,51.14,+34.87
Nigma Galaxy,17-1-2022,1048.19,1033.07,+45.34,994.00,+75.57,1118.08,1096.03,+83.50,1022.77,+132.14,1684.39,1983.99,119.84,-88.28,1784.92,1917.18,52.90,-18.66
Quincy Crew,17-1-2022,1073.67,1074.81,-8.22,1067.21,+5.21,1114.44,1118.27,-30.36,1108.20,+4.00,1552.25,1858.16,122.36,-47.14,1783.00,1922.15,55.66,-13.55
Gaimin Gladiators,17-1-2022,1154.05,1131.99,+54.38,1113.37,-,1269.57,1222.79,+101.25,1194.80,-,1816.72,2022.44,82.29,-26.74,1775.13,1972.60,78.99,-29.01
Xtreme  Gaming,17-1-2022,1059.96,1061.43,-2.96,1068.62,-6.76,1075.21,1077.06,-3.71,1098.16,-44.44,1932.81,2174.08,96.51,+228.50,1772.46,1911.53,55.63,+83.07
Team SMG,17-1-2022,1084.26,1079.92,+8.59,1068.15,-19.46,1149.37,1139.58,+17.57,1109.74,-10.46,1766.71,1951.56,73.94,-16.42,1753.59,1874.10,48.21,-11.99
Thunder Awaken,17-1-2022,1114.06,1112.16,-1.38,1104.03,+8.64,1188.09,1204.55,-28.50,1199.83,-19.89,1680.93,1966.43,114.20,+113.93,1744.39,1873.59,51.68,+25.33
Neptune Gaming,17-1-2022,900.27,897.83,+4.92,889.22,+22.86,849.56,845.87,+7.42,832.88,+34.49,824.61,1396.97,228.94,-36.08,1716.79,1852.76,54.39,-2.60
Natus Vincere,17-1-2022,1064.63,1076.41,+0.34,1018.51,+87.19,1132.03,1168.14,-7.13,1046.83,+164.73,1602.23,1875.73,109.40,-86.95,1713.25,1842.47,51.69,-2.77
Neon Esports,17-1-2022,1038.96,1058.86,-64.65,1031.28,+90.59,1089.22,1137.23,-154.74,1090.26,+186.95,1742.14,1919.94,71.12,+47.60,1703.11,1815.96,45.14,+17.64
beastcoast,17-1-2022,1023.62,1062.08,-45.36,1071.59,-55.46,988.43,1078.30,-104.60,1116.89,-152.07,1220.93,1572.09,140.46,-201.74,1702.22,1837.61,54.16,-36.74
4 Zoomers,17-1-2022,996.46,982.64,+22.44,999.67,-32.69,969.87,944.73,+41.08,980.48,-62.60,1539.97,1792.89,101.17,+180.20,1697.39,1818.94,48.62,+25.72
Pari Parni,17-1-2022,1079.70,1095.43,-44.05,1124.68,-31.76,1082.10,1108.43,-67.93,1167.52,-72.09,1654.06,1834.60,72.22,+63.02,1696.75,1849.38,61.05,+39.00
Entity,17-1-2022,1102.43,1111.85,-18.23,1102.65,+19.28,1138.21,1159.15,-56.49,1166.28,-8.38,1674.58,1862.14,75.03,+31.03,1696.03,1859.34,65.32,+21.92
Noping VPN,17-1-2022,1012.74,1007.26,+16.31,1050.00,-63.34,996.64,963.30,+62.65,1031.02,-72.96,1346.36,1621.34,109.99,+19.00,1690.09,1819.75,51.87,-11.77
Alliance,17-1-2022,887.48,889.57,-13.92,908.80,-27.73,837.03,840.58,-22.23,875.24,-52.66,1230.74,1600.69,147.98,+116.86,1689.61,1819.92,52.12,+1.76
Team Magma,17-1-2022,964.82,963.96,+1.74,983.86,-77.45,931.56,929.88,+3.38,966.42,-138.59,1470.16,1881.53,164.55,-51.89,1688.21,1823.37,54.06,-2.56
TNC Predator,17-1-2022,950.64,936.89,+52.41,914.33,+32.93,981.22,948.39,+126.33,881.08,+122.98,1319.86,1632.98,125.25,-72.20,1672.39,1807.09,53.88,-2.58
LBZS,17-1-2022,984.37,979.64,+2.49,983.56,+0.47,978.19,979.92,-10.67,980.49,+1.21,1617.63,1850.76,93.25,+59.95,1661.26,1805.41,57.66,-3.13
Motivate.Trust Gaming,17-1-2022,1011.22,1011.50,-0.55,1025.43,-24.63,1027.12,1027.78,-1.34,1035.35,-16.67,1493.53,1768.51,109.99,-33.11,1646.80,1771.54,49.89,-17.95
CREEPWAVE,17-1-2022,1088.86,1091.04,-4.38,1098.71,-20.37,1121.54,1124.51,-6.00,1135.00,-27.86,1247.63,1846.16,239.41,-34.40,1643.34,1781.34,55.20,-2.48
Infamous U.esports.,17-1-2022,1037.26,1029.42,+11.99,1007.50,+0.72,1082.20,1069.22,+18.75,1014.17,+4.46,1575.61,1840.56,105.98,+51.66,1641.93,1774.92,53.20,+6.31
Team Saiyan,17-1-2022,1010.54,1010.80,-0.52,1011.71,-2.42,1030.90,1031.65,-1.52,1034.32,-7.08,1440.04,1973.58,213.42,-38.90,1640.80,1796.42,62.25,-2.25
Into The Breach,17-1-2022,1080.63,1084.20,-16.77,1100.29,-33.47,1129.98,1135.91,-28.42,1162.84,-55.58,1453.48,1737.03,113.42,+9.45,1632.40,1775.64,57.30,-1.30
Aster.Aries,17-1-2022,971.64,970.94,+1.40,968.49,+6.50,941.78,940.35,+2.87,935.32,+13.35,1346.23,1731.80,154.23,+158.08,1626.94,1770.30,57.35,+4.76
Winstrike Team,17-1-2022,1073.71,1063.79,+20.06,1040.44,+69.50,1126.46,1107.71,+37.91,1070.71,+124.13,1594.85,1824.13,91.71,+101.23,1625.69,1747.96,48.91,+25.03
Brame,17-1-2022,1024.02,1024.60,-1.19,1051.72,-22.16,1008.14,1008.34,-0.40,1066.76,-70.37,1506.19,1715.40,83.68,+19.89,1624.28,1730.29,42.40,+4.29
PuckChamp,17-1-2022,1082.19,1069.57,+35.23,1055.04,+52.61,1153.53,1125.72,+77.20,1106.26,+96.61,1506.50,1883.79,150.92,-57.37,1609.25,1736.67,50.97,-2.71
Polaris Esports,17-1-2022,1103.31,1098.30,+7.13,1087.62,+12.91,1176.15,1167.99,+11.55,1152.44,+17.72,1635.55,1941.64,122.44,+55.40,1604.47,1744.59,56.05,+13.64
HellRaisers,17-1-2022,1055.49,1089.85,-66.95,1120.00,-84.56,1056.72,1121.83,-131.18,1184.64,-166.23,1444.88,1666.81,88.77,-51.19,1601.71,1717.91,46.48,-13.54
phoenix gaming,17-1-2022,890.96,910.53,-39.92,963.86,-105.11,835.74,851.87,-37.37,932.14,-147.07,1316.59,1698.05,152.58,+157.09,1598.38,1752.18,61.52,+4.80
Execration,17-1-2022,931.18,949.51,-41.19,981.39,-66.94,902.79,931.63,-63.77,987.03,-115.79,1351.33,1634.86,113.41,+58.27,1594.55,1721.40,50.74,-1.11
CDEC ,17-1-2022,930.24,928.53,+3.44,922.51,+15.99,906.86,904.58,+4.60,896.54,+21.35,937.10,1503.04,226.38,-36.52,1592.54,1752.73,64.08,-2.16
Wildcard Gaming,17-1-2022,1035.70,1028.34,+20.34,1017.29,+21.38,1053.84,1040.50,+36.72,1025.25,+30.62,1345.33,1604.00,103.47,-93.36,1591.80,1724.85,53.22,-24.39
Rune Eaters,17-1-2022,1025.77,1026.41,-1.32,1022.68,-31.55,1029.72,1038.10,-22.01,1029.49,-60.23,1554.05,1670.70,46.66,-15.87,1590.37,1693.68,41.32,-18.89
HYDRA,17-1-2022,1030.67,1025.68,+10.09,1056.63,-11.86,1010.61,994.16,+33.25,1062.51,-24.66,1499.80,1674.67,69.95,-10.46,1588.14,1711.51,49.35,-12.15
iG.Vitality,17-1-2022,948.65,947.39,+2.53,955.12,-37.18,911.67,909.51,+4.36,922.72,-66.50,1115.16,1585.34,188.07,-44.66,1556.99,1737.77,72.31,-1.91
Hokori,17-1-2022,969.42,988.86,-31.24,976.98,+38.14,961.35,1003.62,-68.19,990.54,+66.94,1290.60,1566.36,110.30,+18.43,1555.90,1679.88,49.59,-7.82
SHENZHEN,17-1-2022,980.91,980.44,+0.94,978.80,+4.38,971.37,970.67,+1.41,968.20,+6.56,1457.65,1781.54,129.56,+79.28,1552.90,1744.59,76.68,-2.35
Mind Games,17-1-2022,960.16,944.22,+32.21,927.73,+35.91,972.62,943.14,+59.55,901.56,+85.33,1411.55,1719.17,123.05,+92.35,1547.90,1680.18,52.91,+18.08
Nemiga Gaming,17-1-2022,976.92,1007.93,-35.70,1042.16,-85.48,924.97,988.06,-72.04,1064.45,-220.99,1551.19,1662.87,44.67,-11.34,1543.63,1647.01,41.35,-13.85
Team Empire,17-1-2022,877.43,889.39,-24.20,905.15,-41.66,824.64,849.15,-49.55,878.76,-48.66,1364.64,1571.10,82.59,+61.58,1543.30,1653.26,43.98,+8.90
Infinity,17-1-2022,1110.54,1109.81,+22.03,1083.58,+34.87,1208.34,1208.05,+32.86,1171.30,+44.29,1606.22,1950.15,137.57,-7.71,1542.81,1689.11,58.52,+4.23
Coritiba Esports,17-1-2022,1033.29,1013.91,+31.11,1023.77,-5.10,1072.64,1031.20,+66.51,1042.93,-15.47,1448.30,1744.60,118.52,+37.70,1541.42,1708.42,66.80,+0.87
AS Monaco Gambit,17-1-2022,926.18,931.89,-16.54,945.89,-23.51,912.69,919.04,-18.49,939.92,-35.00,1162.64,1490.68,131.22,-22.51,1525.12,1679.07,61.58,-21.30
SG esports,17-1-2022,894.44,864.45,+28.21,876.07,+29.08,877.21,805.46,+67.97,824.81,+90.61,1144.46,1465.95,128.59,+163.35,1524.07,1662.53,55.39,+25.17
Tempest,17-1-2022,991.64,1000.19,-13.41,975.00,+29.79,998.94,1013.91,-22.76,963.66,+60.43,1464.44,1758.38,117.57,+86.73,1520.22,1678.37,63.26,+28.32
Nigma Galaxy SEA,17-1-2022,1050.86,1046.59,+20.33,1036.61,+15.71,1093.69,1082.30,+45.36,1060.80,+28.12,1514.76,1755.05,96.11,-9.99,1514.52,1678.55,65.61,-1.96
Fantastic Five,17-1-2022,945.95,920.61,+35.23,912.36,+11.74,948.32,901.92,+63.77,882.00,+14.24,1267.31,1562.98,118.27,-77.91,1471.16,1595.42,49.70,-2.76
Eternity,17-1-2022,885.28,910.21,-26.49,908.06,-15.03,831.52,884.72,-46.11,870.56,-21.96,1157.60,1513.07,142.19,-61.60,1463.59,1601.33,55.10,-2.49
Simply TOOBASED,17-1-2022,917.75,896.89,+18.69,870.44,+54.37,914.75,868.98,+43.97,815.43,+108.84,1179.51,1535.39,142.35,-61.51,1452.57,1597.68,58.05,-2.36
Team Bald Reborn,17-1-2022,984.83,984.46,+0.75,987.92,+15.64,967.81,967.03,+1.59,977.80,+31.86,1211.24,1481.73,108.20,-8.54,1451.72,1634.43,73.09,-14.25
B8,17-1-2022,878.12,899.13,-26.50,914.91,-56.95,805.63,838.35,-31.09,851.62,-61.35,909.97,1312.07,160.84,-53.27,1451.15,1582.96,52.73,-2.61
Yangon Galacticos,17-1-2022,995.34,995.22,+0.23,994.82,+1.07,1004.66,1004.78,-0.23,1005.18,-1.07,1130.01,1801.70,268.68,-30.47,1441.73,1617.28,70.22,-1.96
Lilgun ,17-1-2022,995.87,976.62,+38.89,986.76,-0.76,1024.38,981.88,+85.88,995.92,+7.38,1442.44,1728.25,114.33,+121.12,1435.75,1599.90,65.66,+29.94
Army Geniuses,17-1-2022,933.66,924.90,+22.44,924.38,+14.78,929.20,917.28,+30.83,919.79,+22.81,1342.13,1612.81,108.27,+77.98,1427.64,1559.21,52.63,+10.62
One Move,17-1-2022,1010.92,985.36,+24.69,982.36,+2.46,1022.23,974.56,+40.88,958.44,+19.40,1404.85,1683.86,111.60,+118.04,1419.77,1611.30,76.61,+49.40
Gorillaz-Pride,17-1-2022,1069.97,1060.29,+15.03,1039.19,+60.71,1109.33,1097.92,+17.45,1067.55,+89.03,1402.72,1731.57,131.54,+81.92,1414.42,1574.86,64.18,+4.77
Ghost Frogs,17-1-2022,958.24,939.56,+12.06,956.97,-22.82,942.22,896.63,+39.89,921.96,-29.18,1096.11,1364.17,107.22,-26.43,1396.25,1574.65,71.36,-19.60
The Cut,17-1-2022,1076.29,1069.51,+7.97,1055.90,+30.20,1130.55,1123.42,+7.58,1105.28,+26.83,1306.12,1613.60,122.99,-48.90,1388.30,1558.89,68.24,-10.78
Arkosh Gaming,17-1-2022,839.97,849.77,-14.37,865.91,-27.87,750.96,769.26,-27.30,809.42,-72.24,942.73,1272.30,131.83,-1.52,1346.81,1501.06,61.70,-3.85
Omega Gaming,17-1-2022,977.63,970.28,+14.29,981.91,-38.62,968.07,958.25,+16.53,980.23,-80.67,1198.67,1523.44,129.91,+45.69,1341.83,1520.11,71.31,+36.12
Unknown Team,17-1-2022,874.80,883.12,-12.30,891.05,-14.24,800.29,809.47,-12.99,814.41,-5.60,718.73,1119.09,160.14,+1.70,1335.71,1487.14,60.57,-19.31
5ManMidas,17-1-2022,988.29,942.63,+67.53,925.85,+52.35,1014.58,927.63,+125.67,892.95,+109.07,1151.42,1459.26,123.14,+123.28,1173.76,1342.45,67.47,+31.05
Inverse,17-1-2022,894.90,908.13,-25.88,913.19,-37.31,835.69,854.82,-35.81,860.21,-54.94,718.65,1210.53,196.75,-42.50,1172.75,1365.28,77.01,-1.78
felt,17-1-2022,942.77,963.18,-5.34,957.18,-12.21,923.63,964.70,-9.57,937.49,-4.02,1061.32,1375.20,125.55,-36.41,1152.40,1324.47,68.83,-14.25
Electronic Boys,17-1-2022,928.35,958.07,-40.34,964.86,-45.45,892.79,954.84,-87.57,972.03,-79.29,1002.65,1312.72,124.03,-46.98,1121.50,1301.33,71.93,-24.39
PSG.LGD,16-1-2022,1221.72,1202.51,+28.31,1189.49,+23.25,1303.28,1267.32,+52.35,1258.79,+21.96,2036.92,2382.04,138.05,+282.50,2021.93,2148.42,50.60,+12.34
Team Spirit,16-1-2022,1190.95,1174.12,+15.67,1179.81,-51.10,1263.67,1232.50,+30.89,1230.47,-94.71,1858.08,2143.95,114.35,+39.62,1926.74,2042.84,46.44,+2.14
Virtus.pro,16-1-2022,1111.92,1084.38,+29.81,1075.67,+12.18,1185.23,1114.06,+79.18,1092.70,+47.67,1639.75,1952.41,125.06,+140.45,1876.43,2014.08,55.06,+9.51
Tundra Esports,16-1-2022,1135.99,1167.55,-44.99,1168.19,+61.32,1220.82,1291.14,-98.95,1300.04,+124.16,1792.39,2075.93,113.41,-86.31,1876.21,2000.09,49.55,-16.15
Vici Gaming,16-1-2022,1022.25,1015.89,+18.15,1054.08,-48.55,1012.46,998.00,+41.21,1074.15,-105.81,1799.80,1997.13,78.93,+67.05,1866.78,1977.32,44.22,+10.05
INVICTUS GAMING,16-1-2022,1001.44,1059.68,-79.17,1098.57,-111.78,935.76,1051.64,-158.45,1127.28,-241.79,1733.05,1947.56,85.81,-42.92,1861.89,1974.08,44.88,-29.49
Team Aster,16-1-2022,1078.30,1068.32,+59.61,1011.11,+75.73,1163.95,1146.01,+112.03,1019.60,+175.35,1738.22,2000.90,105.07,+206.33,1861.42,1982.43,48.40,+24.08
T1,16-1-2022,1163.20,1128.54,+54.50,1132.47,+15.08,1281.11,1211.08,+105.45,1228.20,+21.86,1816.54,2153.62,134.83,+245.45,1860.61,1985.01,49.76,+22.68
Team Secret,16-1-2022,1062.11,1058.45,+17.73,1057.65,-84.85,1096.07,1089.52,+30.99,1087.06,-159.14,1697.58,2044.12,138.62,+34.22,1857.35,1984.63,50.91,+1.51
Royal Never Give Up,16-1-2022,1080.73,1097.34,+3.83,1079.16,+67.21,1096.23,1124.75,+17.33,1113.32,+84.15,1873.77,2067.66,77.56,+31.91,1856.16,1971.29,46.05,+11.34
Evil Geniuses,16-1-2022,1079.52,1067.86,+32.61,1030.49,+80.47,1119.78,1094.13,+70.85,1011.02,+178.85,1572.05,1915.05,137.20,+181.64,1852.79,1995.96,57.27,+20.95
OG,16-1-2022,1064.56,1058.84,+16.42,1066.04,-45.64,1092.21,1083.12,+25.93,1090.40,-109.12,1706.94,1982.92,110.39,+18.94,1842.09,1966.63,49.82,+8.66
BOOM Esports,16-1-2022,1178.21,1213.61,-50.89,1232.67,-63.92,1234.27,1305.63,-100.57,1342.28,-129.52,1730.09,2089.91,143.93,-141.94,1837.93,1966.38,51.38,-15.56
TSM FTX,16-1-2022,1052.45,1067.34,-39.12,1106.81,-58.14,1035.59,1065.05,-78.51,1144.07,-116.86,1471.32,1819.47,139.26,-104.58,1836.40,1973.57,54.87,-16.76
EHOME,16-1-2022,1034.43,1027.32,-26.94,1023.22,+21.33,1056.65,1037.83,-53.61,1038.29,+34.46,1678.67,1955.25,110.63,-39.34,1834.48,1979.23,57.90,-12.04
Team Liquid,16-1-2022,1052.63,1060.61,-29.47,1080.06,-29.41,1079.41,1096.73,-65.62,1139.97,-74.93,1740.61,2060.47,127.94,-29.12,1814.38,1949.79,54.16,-8.58
Nigma Galaxy,16-1-2022,1048.52,1027.41,+45.65,989.93,+126.32,1118.90,1085.62,+84.08,1014.79,+248.45,1772.66,2128.05,142.16,+259.88,1803.59,1937.96,53.75,+19.72
Quincy Crew,16-1-2022,1074.18,1075.91,-8.27,1066.68,+16.96,1115.23,1122.19,-30.57,1107.53,+21.57,1599.39,1943.00,137.44,-57.95,1796.54,1936.79,56.10,-10.99
Team SMG,16-1-2022,1084.84,1078.91,+8.65,1068.80,-19.60,1150.41,1137.50,+17.69,1110.11,-10.53,1783.13,1974.79,76.67,+5.05,1765.58,1885.52,47.97,+8.86
Fnatic,16-1-2022,1069.31,1052.99,+21.01,1041.82,+30.61,1127.38,1101.94,+32.45,1087.86,+41.01,1644.35,1961.00,126.66,+57.78,1751.78,1883.82,52.82,+10.12
beastcoast,16-1-2022,1066.18,1067.81,-3.27,1073.39,-13.44,1089.27,1091.45,-4.40,1121.82,-52.21,1422.67,1861.62,175.58,-48.21,1738.96,1878.71,55.90,-2.45
Neptune Gaming,16-1-2022,899.58,897.12,+4.95,888.46,+23.02,848.52,844.81,+7.47,831.73,+34.73,860.69,1396.97,214.51,-38.69,1719.39,1852.76,53.35,-2.65
Thunder Awaken,16-1-2022,1102.33,1112.43,-13.90,1103.03,+19.38,1170.84,1208.30,-47.25,1199.58,-9.59,1567.00,1891.34,129.73,-61.40,1719.06,1850.01,52.38,-0.88
